Periodos,delito,total,tipo
2010,robo.o.asalto.en.la.calle.o.transporte.público,7412.960196,robo
2010,extorsión,7238.574971,extorsion y fraude
2010,robo.parcial.de.vehículo,3126.565529,robo
2010,fraude,2658.374764,extorsion y fraude
2010,amenazas.verbales,2418.73578,amenazas y lesiones
2010,robo.en.casa.habitación,2113.649059,robo
2010,robo.en.forma.distinta.a.las.anteriores,1882.103126,robo
2010,lesiones,1560.380325,amenazas y lesiones
2010,otros.delitos.distintos.a.los.anteriores,1549.69428,otros
2010,robo.total.de.vehículo,573.7395442,robo
2011,robo.o.asalto.en.la.calle.o.transporte.público,8570.12644,robo
2011,extorsión,5652.920203,extorsion y fraude
2011,robo.parcial.de.vehículo,3293.61111,robo
2011,fraude,2499.464214,extorsion y fraude
2011,amenazas.verbales,2263.552942,amenazas y lesiones
2011,robo.en.casa.habitación,2230.943915,robo
2011,robo.en.forma.distinta.a.las.anteriores,1432.226252,robo
2011,lesiones,1198.245089,amenazas y lesiones
2011,otros.delitos.distintos.a.los.anteriores,1269.1527,otros
2011,robo.total.de.vehículo,789.8345105,robo
2012,robo.o.asalto.en.la.calle.o.transporte.público,10036.67603,robo
2012,extorsión,7584.783901,extorsion y fraude
2012,robo.parcial.de.vehículo,4227.127685,robo
2012,fraude,3318.607581,extorsion y fraude
2012,amenazas.verbales,3612.318257,amenazas y lesiones
2012,robo.en.casa.habitación,2656.411871,robo
2012,robo.en.forma.distinta.a.las.anteriores,502.1645109,robo
2012,lesiones,1376.440661,amenazas y lesiones
2012,otros.delitos.distintos.a.los.anteriores,1036.962135,otros
2012,robo.total.de.vehículo,787.6564859,robo
2013,robo.o.asalto.en.la.calle.o.transporte.público,12294.19477,robo
2013,extorsión,9789.794939,extorsion y fraude
2013,robo.parcial.de.vehículo,4218.32236,robo
2013,fraude,3981.038493,extorsion y fraude
2013,amenazas.verbales,3808.335037,amenazas y lesiones
2013,robo.en.casa.habitación,2689.357421,robo
2013,robo.en.forma.distinta.a.las.anteriores,1524.386594,robo
2013,lesiones,1303.824676,amenazas y lesiones
2013,otros.delitos.distintos.a.los.anteriores,1199.066621,otros
2013,robo.total.de.vehículo,755.0902684,robo
2014,robo.o.asalto.en.la.calle.o.transporte.público,11903.46619,robo
2014,extorsión,9849.553156,extorsion y fraude
2014,robo.parcial.de.vehículo,4212.6236,robo
2014,fraude,4254.878777,extorsion y fraude
2014,amenazas.verbales,4109.22386,amenazas y lesiones
2014,robo.en.casa.habitación,2533.689111,robo
2014,robo.en.forma.distinta.a.las.anteriores,1474.258274,robo
2014,lesiones,1432.701376,amenazas y lesiones
2014,otros.delitos.distintos.a.los.anteriores,1210.552108,otros
2014,robo.total.de.vehículo,673.6258722,robo
2015,robo.o.asalto.en.la.calle.o.transporte.público,9994.86298,robo
2015,extorsión,8600.308817,extorsion y fraude
2015,robo.parcial.de.vehículo,3457.273329,robo
2015,fraude,3906.195119,extorsion y fraude
2015,amenazas.verbales,2834.887802,amenazas y lesiones
2015,robo.en.casa.habitación,2496.347622,robo
2015,robo.en.forma.distinta.a.las.anteriores,1318.478698,robo
2015,lesiones,1299.10375,amenazas y lesiones
2015,otros.delitos.distintos.a.los.anteriores,1041.993579,otros
2015,robo.total.de.vehículo,547.4461307,robo
2016,robo.o.asalto.en.la.calle.o.transporte.público,9599.248182,robo
2016,extorsión,8944.593927,extorsion y fraude
2016,robo.parcial.de.vehículo,3611.328732,robo
2016,fraude,4656.343261,extorsion y fraude
2016,amenazas.verbales,2871.749746,amenazas y lesiones
2016,robo.en.casa.habitación,2437.278488,robo
2016,robo.en.forma.distinta.a.las.anteriores,1881.560435,robo
2016,lesiones,1154.451587,amenazas y lesiones
2016,otros.delitos.distintos.a.los.anteriores,1271.542862,otros
2016,robo.total.de.vehículo,588.5521506,robo
2017,robo.o.asalto.en.la.calle.o.transporte.público,11080.66347,robo
2017,extorsión,7719.081035,extorsion y fraude
2017,robo.parcial.de.vehículo,3755.435788,robo
2017,fraude,5341.486047,extorsion y fraude
2017,amenazas.verbales,3322.880033,amenazas y lesiones
2017,robo.en.casa.habitación,2744.842115,robo
2017,robo.en.forma.distinta.a.las.anteriores,1781.77118,robo
2017,lesiones,1176.393868,amenazas y lesiones
2017,otros.delitos.distintos.a.los.anteriores,1713.350666,otros
2017,robo.total.de.vehículo,733.2762036,robo
2018,robo.o.asalto.en.la.calle.o.transporte.público,10775.04611,robo
2018,extorsión,6542.041004,extorsion y fraude
2018,robo.parcial.de.vehículo,3645.245858,robo
2018,fraude,5397.284025,extorsion y fraude
2018,amenazas.verbales,3253.109945,amenazas y lesiones
2018,robo.en.casa.habitación,2597.754076,robo
2018,robo.en.forma.distinta.a.las.anteriores,1889.078535,robo
2018,lesiones,1181.134294,amenazas y lesiones
2018,otros.delitos.distintos.a.los.anteriores,1832.810774,otros
2018,robo.total.de.vehículo,693.3239617,robo
2019,robo.o.asalto.en.la.calle.o.transporte.público,9091.491694,robo
2019,extorsión,5133.663142,extorsion y fraude
2019,robo.parcial.de.vehículo,3132.121845,robo
2019,fraude,5088.682612,extorsion y fraude
2019,amenazas.verbales,3090.145503,amenazas y lesiones
2019,robo.en.casa.habitación,2063.444006,robo
2019,robo.en.forma.distinta.a.las.anteriores,1137.195986,robo
2019,lesiones,1225.753906,amenazas y lesiones
2019,otros.delitos.distintos.a.los.anteriores,2978.622563,otros
2019,robo.total.de.vehículo,717.8228134,robo
2020,robo.o.asalto.en.la.calle.o.transporte.público,6898.511174,robo
2020,extorsión,5160.375434,extorsion y fraude
2020,robo.parcial.de.vehículo,2718.398239,robo
2020,fraude,5903.871052,extorsion y fraude
2020,amenazas.verbales,2958.341573,amenazas y lesiones
2020,robo.en.casa.habitación,1880.005437,robo
2020,robo.en.forma.distinta.a.las.anteriores,1546.868843,robo
2020,lesiones,1027.969061,amenazas y lesiones
2020,otros.delitos.distintos.a.los.anteriores,1982.374867,otros
2020,robo.total.de.vehículo,524.3968481,robo
2021,robo.o.asalto.en.la.calle.o.transporte.público,6581.794345,robo
2021,extorsión,5374.782648,extorsion y fraude
2021,robo.parcial.de.vehículo,2803.269403,robo
2021,fraude,5906.526665,extorsion y fraude
2021,amenazas.verbales,2822.84111,amenazas y lesiones
2021,robo.en.casa.habitación,1849.332576,robo
2021,robo.en.forma.distinta.a.las.anteriores,1394.310089,robo
2021,lesiones,1100.11493,amenazas y lesiones
2021,otros.delitos.distintos.a.los.anteriores,2439.434871,otros
2021,robo.total.de.vehículo,513.4639553,robo
2022,robo.o.asalto.en.la.calle.o.transporte.público,5688.70442,robo
2022,extorsión,5055.584623,extorsion y fraude
2022,robo.parcial.de.vehículo,2400.233758,robo
2022,fraude,5769.596358,extorsion y fraude
2022,amenazas.verbales,2949.48499,amenazas y lesiones
2022,robo.en.casa.habitación,1703.979103,robo
2022,robo.en.forma.distinta.a.las.anteriores,1355.465659,robo
2022,lesiones,1088.57895,amenazas y lesiones
2022,otros.delitos.distintos.a.los.anteriores,2211.639921,otros
2022,robo.total.de.vehículo,477.998302,robo
