anio,robo.en.casa.habitacion,robo.o.asalto.en.la.calle.o.transporte.publico,robo.parcial.de.vehiculo,robo.total.de.vehiculo,robo.en.forma.distinta.a.las.anteriores,amenazas.verbales,extorsion,fraude,lesiones,otros.delitos.distintos.a.los.anteriores
2010,2113.649059,7412.960196,3126.565529,573.7395442,1882.103126,2418.73578,7238.574971,2658.374764,1560.380325,1549.69428
2011,2230.943915,8570.12644,3293.61111,789.8345105,1432.226252,2263.552942,5652.920203,2499.464214,1198.245089,1269.1527
2012,2656.411871,10036.67603,4227.127685,787.6564859,502.1645109,3612.318257,7584.783901,3318.607581,1376.440661,1036.962135
2013,2689.357421,12294.19477,4218.32236,755.0902684,1524.386594,3808.335037,9789.794939,3981.038493,1303.824676,1199.066621
2014,2533.689111,11903.46619,4212.6236,673.6258722,1474.258274,4109.22386,9849.553156,4254.878777,1432.701376,1210.552108
2015,2496.347622,9994.86298,3457.273329,547.4461307,1318.478698,2834.887802,8600.308817,3906.195119,1299.10375,1041.993579
2016,2437.278488,9599.248182,3611.328732,588.5521506,1881.560435,2871.749746,8944.593927,4656.343261,1154.451587,1271.542862
2017,2744.842115,11080.66347,3755.435788,733.2762036,1781.77118,3322.880033,7719.081035,5341.486047,1176.393868,1713.350666
2018,2597.754076,10775.04611,3645.245858,693.3239617,1889.078535,3253.109945,6542.041004,5397.284025,1181.134294,1832.810774
2019,2063.444006,9091.491694,3132.121845,717.8228134,1137.195986,3090.145503,5133.663142,5088.682612,1225.753906,2978.622563
2020,1880.005437,6898.511174,2718.398239,524.3968481,1546.868843,2958.341573,5160.375434,5903.871052,1027.969061,1982.374867
2021,1849.332576,6581.794345,2803.269403,513.4639553,1394.310089,2822.84111,5374.782648,5906.526665,1100.11493,2439.434871
2022,1703.979103,5688.70442,2400.233758,477.998302,1355.465659,2949.48499,5055.584623,5769.596358,1088.57895,2211.639921
