anio,sexo,nombre_de_pila,registrados
2000,Hombre,ANGEL,2552
2000,Hombre,JOSE,3242
2000,Hombre,SANTIAGO,259
2000,Mujer,FERNANDA,2791
2000,Mujer,MARIA,3564
2000,Mujer,SOFIA,522
2001,Hombre,ANGEL,2305
2001,Hombre,JOSE,2626
2001,Hombre,SANTIAGO,207
2001,Mujer,FERNANDA,2347
2001,Mujer,MARIA,2769
2001,Mujer,SOFIA,441
2002,Hombre,ANGEL,2736
2002,Hombre,JOSE,2671
2002,Hombre,SANTIAGO,201
2002,Mujer,FERNANDA,2462
2002,Mujer,MARIA,2467
2002,Mujer,SOFIA,446
2003,Hombre,ANGEL,3258
2003,Hombre,JOSE,2584
2003,Hombre,SANTIAGO,430
2003,Mujer,FERNANDA,2248
2003,Mujer,MARIA,2366
2003,Mujer,SOFIA,528
2004,Hombre,ANGEL,3587
2004,Hombre,JOSE,2929
2004,Hombre,SANTIAGO,711
2004,Mujer,FERNANDA,2664
2004,Mujer,MARIA,2450
2004,Mujer,SOFIA,865
2005,Hombre,ANGEL,3434
2005,Hombre,JOSE,2113
2005,Hombre,SANTIAGO,740
2005,Mujer,FERNANDA,1957
2005,Mujer,MARIA,1976
2005,Mujer,SOFIA,778
2006,Hombre,ANGEL,3707
2006,Hombre,JOSE,2223
2006,Hombre,SANTIAGO,1199
2006,Mujer,FERNANDA,2270
2006,Mujer,MARIA,2385
2006,Mujer,SOFIA,1049
2007,Hombre,ANGEL,4174
2007,Hombre,JOSE,2250
2007,Hombre,SANTIAGO,1961
2007,Mujer,FERNANDA,2335
2007,Mujer,MARIA,2399
2007,Mujer,SOFIA,1618
2008,Hombre,ANGEL,3936
2008,Hombre,JOSE,2164
2008,Hombre,SANTIAGO,2608
2008,Mujer,FERNANDA,2466
2008,Mujer,MARIA,2483
2008,Mujer,SOFIA,1687
2009,Hombre,ANGEL,3607
2009,Hombre,JOSE,2044
2009,Hombre,SANTIAGO,3487
2009,Mujer,FERNANDA,2337
2009,Mujer,MARIA,2454
2009,Mujer,SOFIA,1778
2010,Hombre,ANGEL,3467
2010,Hombre,JOSE,1949
2010,Hombre,SANTIAGO,3812
2010,Mujer,FERNANDA,1954
2010,Mujer,MARIA,2307
2010,Mujer,SOFIA,1783
2011,Hombre,ANGEL,3469
2011,Hombre,JOSE,1976
2011,Hombre,SANTIAGO,4689
2011,Mujer,FERNANDA,2112
2011,Mujer,MARIA,2222
2011,Mujer,SOFIA,2214
2012,Hombre,ANGEL,3114
2012,Hombre,JOSE,1796
2012,Hombre,SANTIAGO,4288
2012,Mujer,FERNANDA,1799
2012,Mujer,MARIA,2265
2012,Mujer,SOFIA,2595
2013,Hombre,ANGEL,2938
2013,Hombre,JOSE,1642
2013,Hombre,SANTIAGO,3731
2013,Mujer,FERNANDA,1465
2013,Mujer,MARIA,1960
2013,Mujer,SOFIA,2805
2014,Hombre,ANGEL,2993
2014,Hombre,JOSE,1565
2014,Hombre,SANTIAGO,3663
2014,Mujer,FERNANDA,1509
2014,Mujer,MARIA,1971
2014,Mujer,SOFIA,3544
2015,Hombre,ANGEL,2712
2015,Hombre,JOSE,1512
2015,Hombre,SANTIAGO,3273
2015,Mujer,FERNANDA,1351
2015,Mujer,MARIA,1721
2015,Mujer,SOFIA,3727
2016,Hombre,ANGEL,2109
2016,Hombre,JOSE,1275
2016,Hombre,SANTIAGO,3169
2016,Mujer,FERNANDA,1303
2016,Mujer,MARIA,1706
2016,Mujer,SOFIA,3511
2017,Hombre,ANGEL,2069
2017,Hombre,JOSE,1190
2017,Hombre,SANTIAGO,3181
2017,Mujer,FERNANDA,1152
2017,Mujer,MARIA,1433
2017,Mujer,SOFIA,3402
2018,Hombre,ANGEL,1590
2018,Hombre,JOSE,955
2018,Hombre,SANTIAGO,2759
2018,Mujer,FERNANDA,819
2018,Mujer,MARIA,1145
2018,Mujer,SOFIA,2812
2019,Hombre,ANGEL,1504
2019,Hombre,JOSE,852
2019,Hombre,SANTIAGO,2228
2019,Mujer,FERNANDA,804
2019,Mujer,MARIA,1203
2019,Mujer,SOFIA,2691
2020,Hombre,ANGEL,1211
2020,Hombre,JOSE,736
2020,Hombre,SANTIAGO,1695
2020,Mujer,FERNANDA,543
2020,Mujer,MARIA,719
2020,Mujer,SOFIA,2320
2021,Hombre,ANGEL,972
2021,Hombre,JOSE,500
2021,Hombre,SANTIAGO,1401
2021,Mujer,FERNANDA,453
2021,Mujer,MARIA,821
2021,Mujer,SOFIA,1830
2022,Hombre,ANGEL,561
2022,Hombre,JOSE,278
2022,Hombre,SANTIAGO,793
2022,Mujer,FERNANDA,240
2022,Mujer,MARIA,451
2022,Mujer,SOFIA,948
